gx,gy,gz,acx,acy,acz
-0.43,2.62,-3.85,0.07,-0.91,0.39
-2.26,2.56,-10.99,0.1,-0.91,0.35
-1.28,9.09,-5.92,0.11,-0.92,0.35
1.89,11.47,6.23,0.1,-0.92,0.37
-0.12,2.75,5.68,0.08,-0.91,0.39
-3.17,8.06,0.67,0.09,-0.91,0.37
1.4,2.08,0.67,0.09,-0.92,0.37
2.93,2.08,-2.32,0.1,-0.91,0.38
1.59,0.37,-3.48,0.11,-0.92,0.38
0.73,-0.73,-1.4,0.12,-0.91,0.37
0.67,-0.31,-0.12,0.12,-0.91,0.36
2.14,0.85,3.3,0.13,-0.92,0.36
2.44,-2.5,6.16,0.12,-0.91,0.37
0.12,-0.92,5.98,0.11,-0.93,0.37
-2.01,0.31,4.27,0.1,-0.94,0.36
-2.87,-1.28,2.56,0.1,-0.92,0.35
7.75,-28.87,-4.27,0.09,-0.89,0.4
26.98,-13.85,15.08,0.08,-0.73,0.5
25.09,1.65,-9.46,0.21,-0.82,0.36
-81.36,72.08,19.65,-0.18,-1.97,0.02
-65,226.26,154.42,0.01,-0.34,0.14
-167.6,132.02,-167.85,1.97,-1.03,-1.35
45.72,147.71,33.81,0.94,-0.71,0.16
4.58,125.79,-36.38,0.98,-0.95,-0.08
-8,-46.94,-49.5,0.74,-0.55,0.04
-2.87,-40.77,-40.53,0.53,-0.83,0.24
38.82,-42.66,-37.29,0.38,-0.87,0.33
29.48,-129.27,-1.95,0.11,-0.85,0.39
3.48,-32.41,23.32,0.06,-0.77,0.36
-15.2,21.55,-26.98,0.19,-1.29,0.34
-15.32,-3.78,-34.12,0.14,-0.94,0.24
8.42,-14.53,8.54,0.2,-0.93,0.32
-5.13,-68.18,-36.44,0.08,-0.88,0.33
0.98,31.01,-31.62,0.1,-0.78,0.42
6.96,-26.55,49.74,0.08,-1.01,0.65
-25.82,-38.09,93.57,-0.09,-0.78,0.5
-17.7,-62.32,37.6,0,-0.9,0.44
-6.29,-28.08,-6.9,0.05,-0.82,0.35
1.71,5.74,-27.89,0.03,-0.91,0.34
31.25,10.44,4.03,0.18,-0.93,0.41
28.87,-71.23,10.5,0.03,-0.88,0.46
-12.33,-5.68,-41.2,0.01,-1,0.48
-28.63,161.5,-19.71,0.01,-0.81,0.34
7.02,41.32,-4.33,0.35,-0.91,0.43
13,-104.13,0,-0.1,-0.83,0.46
