gx,gy,gz,acx,acy,acz
0.61,-2.81,18.19,0.07,-0.92,0.36
4.33,-6.47,13.24,0.06,-0.92,0.38
2.62,2.5,0.43,0.04,-0.94,0.39
-3.54,11.29,-8.61,0.07,-0.92,0.38
-4.27,15.08,-11.66,0.09,-0.92,0.36
1.46,2.56,-4.27,0.1,-0.92,0.36
3.17,-3.36,9.03,0.07,-0.93,0.38
0.55,-6.04,5.62,0.06,-0.92,0.39
-2.5,-2.38,-0.61,0.07,-0.92,0.37
-2.26,-3.05,-2.01,0.08,-0.93,0.36
-1.34,2.08,-1.4,0.07,-0.95,0.37
0.98,14.89,-5.25,0.04,-0.9,0.37
-4.58,44.92,-30.33,0.08,-0.96,0.35
21.91,50.29,-29.24,0,-1.01,0.36
24.29,3.3,-21.42,-0.01,-0.79,0.43
-31.86,1.77,66.16,0,-0.98,0.36
-50.35,41.44,82.58,0.14,-1.01,0.26
-44.68,-14.47,39.12,0.11,-0.99,0.19
-5.55,-8.85,13.55,0.1,-0.91,0.17
39.31,-33.94,-43.52,0.2,-1.13,0.32
36.01,-117.55,-35.16,-0.18,-1.19,0.64
9.16,72.81,-16.3,0.01,-0.56,0.33
-10.74,-26.79,-50.05,0.05,-0.98,0.39
9.16,101.14,8.06,0.04,-0.76,0.29
34.36,-13.24,5.13,0.16,-0.92,0.45
-30.58,-2.99,53.89,-0.05,-0.92,0.34
-59.75,36.99,19.59,0.15,-0.98,0.27
-35.71,6.35,32.29,0.1,-0.89,0.18
-5.49,-6.84,8.06,0.09,-1.03,0.24
29.17,24.78,-35.89,0.04,-1.14,0.4
45.29,-56.52,-26.31,0.01,-0.71,0.38
5.68,73.36,-53.28,-0.03,-0.82,0.41
15.38,75.93,-6.59,0.17,-0.77,0.39
33.69,-20.32,-15.32,0.22,-1.21,0.5
-32.59,15.08,66.16,-0.05,-0.81,0.35
-66.96,36.56,70.74,0.17,-1.14,0.3
-59.2,35.58,48.4,0.04,-0.88,0.15
-3.11,49.38,19.9,0.14,-0.81,0.18
37.41,-49.07,-76.48,0.15,-0.95,0.25
54.08,-188.05,-101.99,0.1,-0.69,0.75
4.52,26.43,-27.34,-0.28,-1,0.21
-28.56,271.48,-5.49,0.24,-0.68,0.31
33.02,-86.79,-25.63,0.43,-0.57,0.31
-47.97,-21.97,15.32,-0.22,-1.07,0.43
-87.34,124.69,146.67,0.1,-1.43,0.45
-79.47,37.84,151.73,0.09,-0.91,0.23
-28.38,-3.42,48.28,0.1,-0.68,0.2
58.04,-34.67,-64.09,0.07,-0.88,0.37
100.22,-188.84,-164.92,-0.01,-0.94,0.66
38.76,-7.26,-79.41,-0.32,-0.96,0.28
19.9,347.6,-51.88,0.4,-0.82,0.18
43.09,-161.32,-64.7,0.7,-0.8,0.47
-44.74,36.74,79.65,-0.18,-1.17,0.52
-85.39,103.45,151,0.15,-1.35,0.42
-72.63,28.56,110.96,0.11,-0.96,0.19
-25.33,-10.44,49.62,0.14,-0.66,0.16
39.12,-27.77,-36.07,0.16,-0.77,0.31
89.97,-260.31,-95.09,0.04,-1.03,0.78
43.82,53.53,-52.67,-0.24,-0.97,0.24
9.28,273.86,-78.49,0.28,-0.85,0.23
40.53,-240.36,-50.6,0.33,-0.87,0.43
-3.23,-39,19.65,-0.21,-1.32,0.57
-64.09,45.41,118.47,0.13,-1.09,0.35
-74.46,20.39,69.46,0.15,-1.03,0.2
-35.95,7.2,60.42,0.09,-0.88,0.15
25.09,-3.42,25.57,0.06,-0.99,0.23
71.66,-129.21,-49.8,0.13,-0.91,0.71
52.67,1.71,-92.77,-0.36,-0.92,0.33
20.51,204.59,-115.6,0.27,-0.9,0.38
34.06,-153.44,-101.38,0.49,-0.89,0.59
-25.88,38.82,38.7,-0.19,-1.26,0.5
-46.45,125.92,192.5,0.24,-1.31,0.42
-66.89,-15.44,162.72,0.08,-1.13,0.28
-35.58,-6.77,115.23,-0.05,-0.9,0.23
37.54,-31.68,-13.61,0.06,-0.78,0.34
121.34,-39.12,-188.84,0.07,-1.06,0.48
69.27,-53.16,-167.18,-0.08,-1.22,0.48
25.45,277.47,-34.91,0.24,-0.75,0.2
33.69,-26.55,-3.85,0.44,-1,0.44
-7.02,-153.63,87.59,-0.07,-1.14,0.51
-82.15,18.98,149.96,0,-1.11,0.38
-67.63,37.35,79.35,0.12,-0.97,0.17
-20.39,0.73,17.03,0.11,-0.98,0.17
