gx,gy,gz,acx,acy,acz
-2.44,13.79,-11.23,-0.15,-0.93,0.28
8.36,26.43,-10.25,-0.16,-0.89,0.35
14.77,26.86,-9.64,-0.16,-0.88,0.4
14.1,31.92,4.03,-0.18,-0.78,0.43
21,21.55,13.12,0.07,-1,0.23
17.52,10.56,33.63,-0.13,-1.02,0.25
1.28,8.06,1.46,0.08,-1.04,0.23
-9.09,12.33,-0.37,0.25,-0.92,0.2
7.51,-20.32,9.09,0.07,-0.97,0.32
1.28,-38.64,-17.09,0.08,-1.05,0.35
-5.68,-20.57,-18.01,-0.14,-1.2,0.22
-14.1,3.6,-14.89,-0.15,-0.86,0.17
-20.26,-2.14,-8.24,-0.01,-0.84,0.05
-1.65,-5.49,23.19,-0.26,-0.84,0.35
-6.84,11.29,4.76,-0.06,-0.84,0.35
4.52,18.98,23.38,0,-0.86,0.32
10.44,20.2,18.92,0.06,-1.19,0.25
12.21,25.82,16.05,0.04,-0.84,0.32
3.42,-4.39,2.14,0.38,-1.04,0
16.91,-16.66,0.61,-0.03,-0.98,0.31
-0.73,-20.26,-22.16,0.27,-1.05,0.3
-16.54,-18.13,-21.97,-0.13,-1.26,0.36
-37.9,-6.84,-8.73,-0.03,-0.63,0.22
-10.25,-22.28,-6.71,0.05,-0.84,0.05
19.53,-14.77,21.61,-0.28,-0.88,0.51
-8.18,7.2,4.58,0.12,-0.82,0.42
11.11,-6.65,26.37,0,-0.83,0.34
22.52,-2.44,4.7,0.2,-1.34,0.08
3.3,22.89,14.53,-0.18,-0.9,0.26
8.42,-14.1,-7.81,0.33,-1.08,0.05
0.61,-2.75,0.18,-0.08,-0.93,0.28
-4.58,-5.43,-21.06,0.22,-1.05,0.27
-14.28,9.4,-36.5,-0.16,-1.36,0.31
-26.98,11.84,-8.97,-0.23,-0.72,0.18
-24.66,-32.9,-27.28,-0.19,-0.96,0.06
2.32,3.85,-5.8,-0.37,-0.82,0.45
-2.5,48.22,5.25,0.2,-0.76,0.44
9.16,0.06,15.38,-0.06,-0.85,0.44
12.57,-4.58,21.12,-0.12,-0.91,0.41
10.62,7.87,11.96,-0.03,-0.77,0.41
25.45,-2.38,21.97,0.05,-0.87,0.25
56.15,-35.58,45.59,-0.35,-1.17,0.17
-13.37,30.7,-12.82,0.07,-1.07,0.05
-16.54,-8.12,14.28,0.14,-1,0.12
-33.94,21.79,8.36,0.1,-0.96,0.3
