gx,gy,gz,acx,acy,acz
-9.03,13.73,5.68,0.04,-0.89,0.37
7.51,-9.95,-4.76,0.05,-0.91,0.41
4.03,-1.1,-15.5,0.08,-0.91,0.44
-2.69,2.14,-6.84,0.1,-0.9,0.41
-4.58,-3.97,2.26,0.06,-0.91,0.4
-1.22,-2.69,6.53,0.07,-0.9,0.39
3.05,-5,1.16,0.04,-0.91,0.42
-2.32,1.34,-4.39,0.05,-0.92,0.43
-4.03,-0.85,-5.43,0.05,-0.91,0.43
-4.33,0.92,-4.94,0.04,-0.89,0.43
-2.75,0.24,-3.6,0.03,-0.89,0.44
-0.31,-6.47,-2.87,0,-0.9,0.46
-0.55,-9.46,-2.2,0,-0.89,0.48
-3.48,-8.24,-2.81,-0.02,-0.88,0.47
-4.33,-13.43,1.16,-0.03,-0.89,0.46
-5,-11.05,2.01,-0.07,-0.88,0.47
-5.25,-8.48,-2.87,-0.08,-0.89,0.45
0.06,-4.15,-6.41,-0.1,-0.87,0.47
5.62,-17.21,-14.16,-0.12,-0.82,0.53
-5.25,-7.14,-10.62,-0.12,-0.87,0.51
-9.7,1.1,-1.28,-0.23,-0.88,0.46
9.09,39.73,-21.12,-0.42,-0.8,0.41
31.86,-4.58,-70.07,0,-0.65,0.31
41.08,-59.81,-30.27,0.27,-1.04,0.89
-68.3,16.17,139.95,-1.02,-1.23,0.68
-82.89,106.81,25.94,-0.56,-1.03,-0.3
45.9,56.95,-39.37,0.01,-0.59,0.21
81.91,-90.33,-100.1,-0.33,-1.02,0.9
-30.4,181.21,29.66,-0.32,-0.74,0.39
6.47,-15.5,-7.02,0.02,-0.74,0.47
10.31,28.2,7.32,-0.09,-0.8,0.41
1.4,50.42,20.75,0.15,-1.04,0.44
-1.65,-25.63,-7.87,0.13,-0.86,0.36
-20.57,-26.37,-1.89,0.07,-1.02,0.33
-9.77,48.95,58.78,0.05,-0.82,0.37
1.53,-22.83,63.72,0.08,-0.83,0.47
3.3,-18.98,-10.68,-0.09,-0.89,0.52
-3.17,-5.25,-20.26,0.02,-0.91,0.45
3.11,15.08,-25.88,0.13,-0.91,0.4
6.59,1.4,-10.01,0.09,-0.9,0.43
2.87,5.07,12.39,0.08,-0.9,0.48
-3.11,-5.49,14.95,0.05,-0.88,0.5
-7.02,-6.04,5.43,0.04,-0.88,0.46
-2.81,-2.75,-3.66,0.06,-0.87,0.46
0.37,-6.96,-8.18,0.06,-0.89,0.47
-2.38,-5.19,-4.09,0.05,-0.9,0.5
-4.46,-6.77,4.09,0.03,-0.84,0.51
-4.21,-15.87,0.61,0,-0.85,0.51
-5.62,-10.8,0.55,0,-0.85,0.51
-6.29,-7.51,1.46,-0.01,-0.84,0.52
-3.42,-8.12,-1.77,0,-0.83,0.53
-2.87,-20.87,-6.65,-0.03,-0.87,0.58
-3.48,23.07,-47.18,-0.63,-0.86,0.69
-32.17,149.66,-113.28,-0.2,-0.88,0.3
-26.25,2.14,-135.74,0.29,-0.53,0.27
8.67,-95.15,-17.76,0.64,-1.05,0.43
-95.34,93.57,251.71,-0.8,-1.3,0.98
-78.12,-10.5,124.08,-0.82,-1.06,0.43
10.74,127.32,2.5,-0.35,-0.74,0.35
29.36,-109.07,-111.27,0.22,-0.92,0.8
19.35,-17.33,-129.64,0.43,-0.75,0.89
-10.01,77.27,-22.95,0.29,-0.56,0.59
20.69,56.15,60,-0.11,-0.69,0.56
40.1,-35.89,17.4,-0.1,-0.71,0.65
32.47,-93.87,-21.48,-0.1,-1.11,0.71
13.12,25.7,-8.54,-0.07,-1.05,0.47
1.04,37.41,-11.54,0.2,-0.86,0.38
-12.57,-21.79,17.7,0.01,-0.95,0.35
5.55,81.73,75.56,0.06,-0.89,0.43
13.18,-58.23,36.01,0.01,-0.86,0.53
2.56,0.37,-22.4,-0.03,-0.94,0.5
-1.53,17.15,-18.13,0.09,-0.87,0.44
0.92,0.73,-23.5,0.11,-0.88,0.44
3.17,0.49,-4.15,0.11,-0.89,0.47
-1.83,-1.46,12.08,0.09,-0.89,0.49
-7.14,-4.58,13.12,0.07,-0.88,0.47
-5.19,-7.2,11.47,0.05,-0.87,0.46
-0.31,-10.19,4.58,0.05,-0.86,0.47
1.53,-8.61,0.24,0.05,-0.87,0.5
0.18,-10.07,-0.37,0.05,-0.87,0.51
-2.32,-4.58,1.89,0.06,-0.85,0.49
-1.1,-5.55,4.7,0.05,-0.86,0.48
0.31,-1.89,6.41,0.04,-0.86,0.49
0.98,-5.92,0.31,0.03,-0.87,0.5
-1.34,-2.08,-6.29,0.05,-0.88,0.49
-1.83,-1.83,-9.16,0.05,-0.88,0.49
-3.48,-3.11,-3.85,0.05,-0.86,0.51
-4.58,-7.69,-0.49,0.03,-0.86,0.54
-7.32,-12.88,-1.46,-0.02,-0.84,0.56
-8.48,-8.24,-3.54,-0.02,-0.83,0.56
-8.97,-13.06,-6.84,-0.04,-0.83,0.58
-12.39,-15.01,-14.95,-0.1,-0.8,0.63
-15.38,-1.83,-31.25,-0.2,-0.82,0.65
-7.87,6.23,-55.6,-0.32,-0.8,0.7
-15.32,-12.57,-77.33,-0.07,-0.55,0.47
-6.16,-39.12,-22.16,-0.03,-0.43,0.47
-15.38,-41.26,212.65,-1.28,-0.79,1.1
-48.77,-11.35,58.47,-0.46,-0.89,0.39
-8.42,39.79,-3.78,-0.6,-0.68,0.48
33.33,-82.46,-80.38,-0.28,-0.8,0.72
34.06,35.16,-93.14,0.09,-0.81,0.73
17.03,0.06,-45.53,0.02,-0.71,0.77
3.42,42.36,20.45,-0.21,-0.66,0.71
-0.73,47,5,-0.39,-0.6,0.63
13.61,12.94,-20.2,-0.2,-0.6,0.58
37.48,-23.99,-12.57,-0.12,-0.69,0.6
32.1,27.28,27.71,0.03,-0.81,0.41
35.1,-40.16,47.49,0.05,-1.12,0.5
19.1,-53.65,51.33,0.03,-0.93,0.45
-28.69,-17.88,32.96,-0.02,-1.02,0.36
-31.8,26.55,50.29,0.01,-0.93,0.36
3.3,-23.5,57.56,0.07,-0.87,0.36
15.08,-10.56,-25.15,-0.03,-0.83,0.39
21.48,6.1,-49.5,0.05,-0.97,0.47
5.37,25.82,-40.77,0.08,-0.95,0.45
-4.94,27.34,-21.48,0.13,-0.9,0.43
-8.24,-0.24,13.18,0.08,-0.91,0.41
-11.72,13.31,34.61,0.07,-0.92,0.39
-2.69,-2.56,32.9,0.06,-0.87,0.39
6.47,-14.1,12.94,0.03,-0.89,0.42
8.48,4.7,-17.27,0.06,-0.91,0.42
10.44,0.55,-28.5,0.1,-0.91,0.41
6.96,-2.14,-24.23,0.11,-0.93,0.41
-0.12,-0.61,1.04,0.1,-0.93,0.41
-4.52,-5.37,21.36,0.07,-0.92,0.39
-5.92,-5.25,20.69,0.05,-0.91,0.4
-5.68,2.44,9.58,0.05,-0.9,0.39
1.04,-4.21,-8.12,0.06,-0.91,0.39
3.6,-2.81,-10.68,0.07,-0.9,0.4
1.04,-5.92,-5.8,0.04,-0.9,0.43
-2.75,-1.46,3.6,0.07,-0.91,0.41
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
