gx,gy,gz,acx,acy,acz
1.28,-0.61,-0.31,0.57,-0.67,0.45
-0.31,-1.77,-0.61,0.56,-0.67,0.44
1.4,2.32,-0.85,0.58,-0.68,0.44
0.43,2.32,-4.15,0.57,-0.68,0.43
2.08,2.01,-5.13,0.61,-0.67,0.46
4.76,-4.21,2.26,0.58,-0.61,0.45
14.1,-12.27,14.4,0.61,-0.66,0.44
16.66,-21.12,8.12,0.54,-0.67,0.39
26.61,-30.52,19.04,0.39,-0.81,0.41
-1.04,77.88,-13.67,0.49,-0.76,0.44
-15.62,43.58,-18.07,0.47,-0.62,0.45
-1.1,29.48,1.16,0.6,-0.73,0.46
-2.75,19.9,-4.33,0.68,-0.91,0.36
-18.13,-17.03,0.49,0.49,-0.7,0.29
-15.14,-5.37,-2.01,0.87,-0.57,0.27
24.48,-55.18,24.05,0.59,-0.47,0.18
54.2,0.12,14.53,0.53,-0.61,0.35
24.11,30.64,-17.58,0.44,-1.04,0.74
-23.25,-33.94,-17.7,1.04,-0.99,0.42
-59.02,-39.67,16.3,0.28,-0.51,0.03
-19.53,0.31,-10.99,0.5,-0.7,0.06
57.74,111.39,9.7,0.08,-0.6,0.86
-27.22,-114.75,26.61,0.72,-0.64,0.37
23.19,-35.22,-9.89,0.78,-1.1,0.4
-12.88,-44.68,24.6,0.24,-0.55,0.28
-15.32,26.86,6.77,1.17,-0.52,0.26
15.62,-88.2,15.01,0.56,-0.57,0.15
70.43,16.97,14.04,0.27,-0.86,0.37
-26.06,-97.9,-26.67,1.21,-0.95,0.28
-23.19,-92.71,-0.37,0.35,-0.52,0.25
-45.23,6.9,2.81,0.54,-0.71,0.13
-6.47,138.12,-13.73,0.39,-0.55,0.2
5.86,-36.62,52.37,1.4,-0.66,0.21
27.95,-73.67,-13.06,0.74,-1.08,0.44
-19.71,65.92,21.48,0.67,-0.59,0.33
-13.18,-74.95,8.24,0.58,-0.46,0.15
88.81,-64.58,17.09,0.45,-0.68,0.15
-61.65,-74.46,5.37,0.32,-0.64,0.15
83.01,86,2.26,0.35,-0.41,1.04
-16.6,30.88,-1.22,0.68,-0.71,0.31
-51.39,-209.35,-35.77,0.79,-1.08,0.35
-25.02,-34.61,5.19,0.49,-0.52,0.15
4.76,-40.1,-0.12,0.61,-1.05,0.32
-2.26,-30.09,4.58,0.42,-0.55,0.21
55.3,44.37,-2.99,0.58,-0.74,0.44
