gx,gy,gz,acx,acy,acz
-0.24,-2.08,0.92,0.06,-0.92,0.36
0.79,-0.61,-3.23,0.08,-0.93,0.36
3.17,-4.33,-3.78,0.09,-0.93,0.37
1.65,-6.35,-1.89,0.08,-0.92,0.38
-2.2,-2.38,2.32,0.07,-0.93,0.38
-2.99,0.73,5,0.07,-0.94,0.37
2.69,-6.59,2.08,0.07,-0.9,0.38
7.14,-20.94,-7.75,0.07,-0.89,0.4
4.27,-6.35,-17.27,0.09,-0.91,0.41
-7.81,7.69,-1.22,0.07,-0.94,0.39
-7.63,10.31,21.24,0.08,-1,0.39
-5.8,11.41,37.41,0.01,-0.98,0.37
-8.97,12.33,14.16,-0.19,-0.77,0.63
6.84,70.92,-34.36,0.14,-0.8,0.4
33.75,-15.01,-61.89,0.23,-0.93,0.34
28.99,-40.28,-3.78,0.02,-1.04,0.3
11.11,85.33,5.55,0.13,-1.02,0.35
-16.17,-41.5,27.77,0.14,-0.86,0.29
-20.39,47.85,-21.97,-0.01,-1.03,0.36
-42.24,70.5,-0.24,0.07,-0.86,0.13
-18.62,91.8,8.91,0.15,-0.98,0.39
10.13,-14.1,-33.45,0.22,-1.13,0.3
5.43,-86.24,-31.25,-0.1,-0.72,0.5
-10.19,56.82,-4.03,-0.05,-0.94,0.24
-4.33,104.68,-14.95,0.02,-0.75,0.34
19.84,-20.45,-18.62,0.03,-0.76,0.33
41.87,-21.36,-32.53,0.06,-0.86,0.52
14.04,-7.26,-22.09,0.02,-1.42,0.61
-34.06,39.55,62.93,0.01,-0.9,0.38
-47.97,-4.09,79.59,0.16,-1.13,0.3
-54.08,-68.3,16.66,0.08,-1,0.17
-31.43,10.19,23.68,0,-0.77,0.14
31.92,46.63,18.13,0.14,-0.64,0.23
58.9,-68.54,-61.22,0.31,-0.9,0.59
54.32,-89.97,-65.06,-0.04,-1.34,0.78
16.6,-2.69,3.78,0.03,-0.9,0.6
-66.65,166.75,24.48,-0.4,-0.9,-0.04
-16.78,143.49,14.1,-0.18,-0.85,0.43
-4.03,-52.92,-73.3,-0.03,-0.78,0.2
36.44,-34.36,-111.88,0.06,-1,0.43
51.82,-29.05,-47.55,0.12,-0.84,0.51
27.04,-50.54,9.28,0.2,-1.33,0.68
-57.5,31.25,114.87,-0.11,-0.99,0.41
-49.99,48.4,147.22,0.22,-1.15,0.32
-52.61,-85.02,55.54,0.1,-1.02,0.18
