gx,gy,gz,acx,acy,acz
74.4,120.91,-117.31,-0.07,-1.19,0.41
32.17,183.59,-102.72,0.34,-0.76,0.39
23.68,-132.2,-18.37,0.19,-0.82,0.58
-39.55,13.55,106.69,0.02,-1.25,0.57
-85.45,13.37,188.84,0.09,-1.44,0.43
-96.68,-2.75,143.01,0.03,-1.18,0.23
-33.69,53.34,87.71,0.03,-0.82,0.2
59.63,-85.27,-18.31,0.09,-0.88,0.28
112.18,-119.32,-134.46,0,-0.91,0.51
87.95,10.25,-135.44,-0.22,-1.16,0.41
23.32,222.96,-128.23,0.15,-1,0.3
26.55,64.58,-75.87,0.36,-0.74,0.35
34.73,-88.44,16.97,0.17,-1.39,0.65
-23.25,-18.37,150.02,0,-0.96,0.43
-74.22,-59.27,155.58,0.1,-1.33,0.41
-90.27,0.73,79.53,-0.03,-0.91,0.21
-40.77,53.28,11.84,0.16,-1.01,0.22
35.77,-30.82,-59.2,0.06,-1.04,0.31
87.52,-83.86,-93.63,0.01,-0.59,0.47
70.98,-81.42,-78.55,-0.14,-1.04,0.53
30.94,103.03,-25.02,0.01,-0.82,0.44
18.49,20.02,2.81,0.21,-0.95,0.48
-26.43,-82.58,48.95,-0.09,-0.95,0.43
-70.37,28.69,105.29,0.03,-1.21,0.38
-75.44,25.09,73.43,0.07,-1.01,0.26
-35.77,18.31,52.19,0.07,-0.89,0.2
5.62,-28.75,-36.74,0.05,-0.91,0.26
82.15,-30.4,-91.98,0.07,-0.72,0.61
65.86,-129.52,-82.34,-0.09,-0.93,0.52
5,115.36,-41.32,-0.1,-0.83,0.47
7.81,101.68,30.21,0.23,-0.81,0.43
17.82,-45.78,18.98,0.06,-1.07,0.5
-5.55,1.89,27.28,0,-1,0.49
-30.4,-5.43,54.26,0.05,-0.98,0.37
-44.74,6.59,17.7,0.07,-1.04,0.3
-21.42,33.26,24.41,0.08,-0.84,0.25
8.24,0.85,-7.08,0.15,-0.97,0.32
32.41,-50.84,-58.41,0.07,-1.11,0.54
28.56,-25.76,-36.87,0,-0.58,0.54
-13.55,-18.43,-19.1,-0.09,-0.96,0.47
-14.22,120.91,38.09,0.04,-0.75,0.34
14.89,18.25,19.96,0.17,-0.73,0.45
38.64,-77.15,-45.41,0.06,-1.13,0.61
2.01,-5.62,1.83,-0.03,-0.9,0.43
-25.21,6.77,20.02,0.18,-0.98,0.31
-36.56,-28.99,10.93,0.1,-1.02,0.23
-5.55,21.55,43.46,0.12,-0.92,0.22
19.65,-10.86,50.54,0.1,-1.02,0.27
40.1,-67.63,-5.86,0.13,-0.99,0.59
11.84,-84.17,-41.75,-0.3,-0.6,0.62
-41.63,12.63,-30.94,0.03,-1.03,0.38
12.21,71.41,45.96,0.17,-0.74,0.26
48.03,-52.49,0.73,0.08,-0.74,0.5
46.69,-91.55,-37.48,-0.04,-1.19,0.63
-4.15,9.95,-14.83,0.01,-0.96,0.51
-36.13,-11.72,31.07,0.14,-0.9,0.34
-41.44,-73.12,33.02,0.13,-1.11,0.25
-12.88,1.1,51.21,0.04,-0.9,0.2
26.73,-5.25,33.51,0.21,-1.01,0.26
45.35,-92.9,18.86,0.05,-1.12,0.47
23.56,-101.01,57.86,-0.11,-0.81,0.58
-23.32,-41.2,4.88,-0.11,-0.88,0.5
-11.78,-8.06,-4.52,0.1,-0.83,0.31
5.07,-19.17,3.54,0.02,-0.86,0.35
20.81,-5.68,41.2,0.03,-0.96,0.49
9.16,-16.42,18.31,0.05,-0.86,0.43
5.55,-42.97,-0.24,0.06,-0.97,0.39
-2.69,-42.36,-9.95,0.08,-0.98,0.33
-14.95,-15.01,-25.27,0.09,-1,0.33
-8.12,44.98,15.44,0.1,-0.97,0.3
17.33,12.82,48.16,0.12,-0.82,0.32
40.77,-89.78,46.33,0.12,-0.94,0.38
29.66,-98.57,27.95,-0.07,-0.98,0.48
-11.17,30.58,-10.31,-0.02,-0.91,0.49
-19.1,25.39,-41.81,0.05,-0.93,0.38
-12.39,30.7,-32.17,0.1,-0.92,0.35
3.72,-2.26,-3.54,0.09,-0.88,0.35
13.61,-26.73,18.74,0.05,-0.91,0.39
8.85,-19.96,33.2,0.02,-0.94,0.42
2.38,-17.27,23.07,-0.01,-0.91,0.42
-5.92,4.52,-3.17,0.03,-0.92,0.39
-6.23,3.72,-15.14,0.04,-0.92,0.37
-3.05,8,-14.53,0.07,-0.93,0.37
5.13,-2.01,-0.43,0.07,-0.93,0.37
6.59,-3.05,3.3,0.04,-0.91,0.37
1.65,2.56,3.48,0.04,-0.93,0.43
-3.72,-0.67,-3.17,0.02,-0.91,0.4
-5.37,-3.54,-3.97,0.02,-0.9,0.38
-3.85,4.58,-2.81,0.05,-0.88,0.35
4.39,0.73,5,0.08,-0.96,0.37
5.07,-16.91,15.62,0.02,-0.93,0.4
1.46,0.61,11.17,0,-0.93,0.4
3.48,-1.89,0.73,0.02,-0.91,0.39
1.83,3.11,-8.48,0.02,-0.94,0.38
-1.46,11.84,-6.23,0.05,-0.93,0.36
0.61,10.74,-3.23,0.07,-0.93,0.36
2.14,0.24,4.82,0.05,-0.93,0.38
0.24,5.74,3.23,0.04,-0.93,0.38
-0.79,-2.38,-1.34,0.04,-0.93,0.38
-1.16,-0.12,-3.11,0.07,-0.92,0.38
-3.23,2.75,-3.05,0.05,-0.93,0.36
2.32,-2.56,0.12,0.09,-0.92,0.37
2.32,-3.3,4.03,0.03,-0.93,0.37
1.53,-1.16,0.67,0.05,-0.91,0.38
-0.24,1.28,-3.05,0.04,-0.93,0.38
-2.32,0.92,-2.32,0.05,-0.92,0.38
-1.28,3.91,-3.05,0.06,-0.92,0.37
1.53,-3.05,0.43,0.06,-0.92,0.37
0.43,-4.94,2.93,0.04,-0.94,0.4
-2.44,-4.52,2.56,0.04,-0.91,0.4
-2.14,-3.36,-1.77,0.05,-0.9,0.38
-1.16,-2.69,-4.27,0.07,-0.92,0.38
1.77,14.83,6.65,0.08,-0.93,0.35
7.39,-11.66,22.34,0.12,-0.92,0.35
-3.42,-20.81,-6.23,-0.08,-0.93,0.37
-8.85,29.42,-6.9,0.04,-0.91,0.32
4.27,11.17,-0.37,-0.02,-0.87,0.37
4.64,58.04,0.98,0.08,-0.88,0.41
7.51,16.36,-3.97,0.07,-0.92,0.37
11.6,16.17,-14.16,0.02,-0.92,0.32
9.58,34.06,-31.98,0.03,-0.97,0.29
7.93,33.02,-20.32,0.1,-0.96,0.29
7.93,18.98,-3.91,0.14,-0.96,0.29
5.8,-14.04,11.78,0.18,-1.01,0.31
-14.28,-40.22,9.46,0.09,-0.98,0.29
-13.49,-7.14,31.31,0.14,-0.95,0.27
-9.77,-26,22.34,0.09,-0.91,0.28
-0.98,-10.86,9.46,0.14,-0.94,0.35
0.67,15.01,3.23,0.18,-0.89,0.42
-5.37,-29.3,9.46,0.26,-0.86,0.62
-24.17,-63.96,6.65,0.26,-0.81,0.63
-31.92,-36.5,-5.86,0.2,-1.2,0.42
-36.87,-16.54,18.62,-0.11,-1.08,-0.03
27.47,49.26,44.92,-0.07,-1,-0.01
65.37,-2.38,-13.92,0.1,-0.88,0.22
75.44,24.48,-20.81,0.11,-0.89,0.56
47.61,3.23,9.16,0.3,-0.76,0.29
38.88,36.99,-3.97,0.07,-1,0.15
-31.56,24.54,18.98,0.21,-1.11,-0.16
-32.29,114.93,-18.55,0.12,-0.87,0.02
-34.73,2.62,-66.71,0.32,-1.02,0.17
-24.72,-116.46,-76.17,0.11,-1.06,0.16
-9.16,16.72,-24.41,0.01,-0.96,0.24
14.22,-0.43,33.33,0.31,-0.95,0.4
-28.5,-167.85,52.73,-0.1,-1.12,0.42
-53.96,9.03,52.92,-0.07,-1.22,0.42
-30.46,-24.41,55.3,0.12,-1.4,0.22
-7.14,-51.33,22.28,-0.05,-0.78,-0.05
53.71,154.11,-8.06,0.29,-0.72,-0.03
51.03,-36.99,-20.08,0.04,-1.04,0.38
32.71,49.38,1.59,0.1,-0.96,0.29
6.29,54.69,-4.21,0,-0.84,0.15
20.57,4.46,14.83,0.25,-0.87,0.12
-7.57,8.91,7.26,0.17,-1,0.11
-9.03,31.19,21.36,0.27,-0.98,0.09
-7.02,23.99,18.98,0.33,-0.89,0.1
-0.06,22.89,2.14,0.34,-0.94,0.03
-13.73,-27.83,-35.52,0.43,-1.01,0.03
-14.71,-163.39,-35.83,0.06,-0.9,0.21
-1.46,19.41,-35.34,0.07,-1.01,0.29
-15.56,-14.59,-19.59,0.11,-1.03,0.32
-7.14,-8.85,4.46,0.08,-0.96,0.34
-2.93,-39.73,18.25,0.04,-1.28,0.25
-16.91,-25.39,14.95,0.1,-1.21,-0.01
16.91,120.06,37.48,-0.12,-0.82,-0.07
25.82,76.66,-7.02,0.23,-0.93,0.21
21.18,-71.72,7.75,-0.05,-0.92,0.35
-16.17,16.3,2.32,0.02,-0.87,0.23
6.41,58.23,-3.11,0.03,-0.84,0.14
-10.93,56.15,-18.01,0.17,-1.07,0.16
-25.76,-26.79,-16.85,0.07,-0.95,0.14
-13.55,-10.99,-23.56,0.04,-0.95,0.17
-2.5,21.85,-29.72,0.18,-1.04,0.17
-11.17,-51.7,-31.01,0.12,-1.03,0.18
-1.83,29.97,21.91,0.07,-0.88,0.25
-3.17,-44.56,37.9,0.16,-0.99,0.36
-29.79,-86.79,21.42,-0.07,-1.1,0.46
-35.95,4.58,10.31,-0.02,-1.22,0.32
-3.72,-33.26,13.06,0.25,-1.21,0
33.94,-29.79,14.89,-0.14,-0.7,-0.1
70.43,148.99,11.41,0.11,-0.98,0.16
24.48,17.58,29.72,0.12,-0.96,0.28
-34,-10.44,5.49,-0.21,-0.86,0.39
4.27,22.46,-10.86,0.17,-0.85,0.08
20.75,52.31,-1.77,0.09,-1.05,0.4
-29.91,18.25,-0.12,0.23,-1.04,0.19
-1.28,37.11,45.41,0.35,-0.83,0.03
4.27,-13.98,24.78,0.24,-0.78,0.09
5.92,8.48,-27.16,0.35,-1.08,0.08
0.98,-33.14,3.97,0.26,-0.89,0.11
-4.58,-14.89,-14.77,0.25,-0.89,0.18
-23.25,-71.53,-61.77,0.16,-1.09,0.39
-21.97,41.32,-42.11,-0.02,-1.09,0.25
2.93,44.62,-0.79,0.17,-1.24,0.14
10.93,-21.24,-20.14,0.08,-1.27,0.01
64.39,20.39,23.62,-0.07,-0.78,0.07
26.31,11.11,32.41,0.07,-0.88,0.18
-50.72,-53.28,13.55,-0.29,-0.95,0.24
-23.99,54.26,-4.15,0.08,-0.8,-0.04
34.85,-19.84,4.27,0.05,-0.88,0.11
-17.46,-21.12,-9.03,0.09,-0.98,0.12
-5.55,-8.54,15.08,0.13,-0.94,0.11
