gx,gy,gz,acx,acy,acz
-0.55,3.72,0.92,0.06,-0.92,0.36
1.16,3.11,1.16,0.05,-0.92,0.36
1.53,1.16,-0.49,0.05,-0.93,0.37
0.92,8.48,-2.99,0.06,-0.92,0.38
1.34,-1.83,-3.11,0.06,-0.93,0.37
0,-0.18,0.06,0.06,-0.92,0.36
0.61,-1.53,0.18,0.06,-0.93,0.36
-0.06,-2.69,1.4,0.04,-0.93,0.36
-0.12,0.67,0.85,0.06,-0.93,0.35
0.85,-0.98,0.18,0.05,-0.93,0.35
2.14,-1.22,-2.38,0.07,-0.94,0.37
0.55,-7.14,-4.33,0.02,-0.92,0.41
-13.85,41.02,-13.37,0.03,-0.93,0.4
-21.24,58.11,-13.43,0,-0.8,0.34
12.76,11.9,10.56,0.04,-0.86,0.37
37.35,-20.02,9.4,-0.01,-0.77,0.39
43.7,-32.65,-15.44,0.06,-0.95,0.41
10.8,-47,-20.69,0.06,-1.01,0.37
-21.91,0.31,-19.47,0.1,-0.88,0.26
-35.22,27.1,-11.17,0.13,-0.87,0.19
-28.26,60.91,19.35,0.03,-1.03,0.21
-20.26,74.95,21.42,0.01,-0.79,0.26
6.23,55.48,6.9,0.19,-0.87,0.4
-9.83,17.94,11.72,0.11,-0.92,0.36
-3.78,24.17,22.09,0.29,-0.9,0.4
-4.09,16.97,27.89,0.32,-0.93,0.39
1.1,36.07,28.02,0.4,-0.9,0.37
7.26,34.12,19.17,0.48,-0.93,0.33
13.24,9.16,26.98,0.52,-0.88,0.24
-14.22,22.64,9.64,0.57,-0.8,0.22
20.57,41.93,7.69,0.55,-0.96,0.21
27.59,77.7,-18.01,0.47,-1.17,-0.06
8.73,70.74,-80.2,0.47,-1.04,-0.18
-20.2,125.67,-112.85,0.44,-1,-0.25
-31.25,85.27,-104.49,0.36,-0.9,-0.08
-36.62,61.28,-45.04,0.26,-1.02,-0.02
-8.73,27.95,37.48,0.25,-1.1,0.12
45.29,41.63,123.05,0.7,-1.4,-0.02
93.08,5.62,229.49,1.16,-1.37,-0.35
106.32,140.14,273.62,0.61,-1.2,-0.38
86.85,-94.42,157.96,-0.04,-0.49,0.11
36.19,-114.81,32.59,0.11,0.28,0.16
15.69,-41.93,-77.7,0.22,-0.08,0.15
88.07,-135.01,-316.22,0.52,-0.98,-0.03
311.83,-493.9,-303.04,0.16,-2.36,0.36
221.92,30.33,35.83,-0.36,-1.49,0.83
34.79,33.2,41.32,0.18,-0.68,1.09
-102.11,-34.97,-23.19,-0.03,-1.1,0.67
-197.81,81.73,18.37,-0.12,-1.77,0.51
-165.04,187.99,148.86,0.14,-1.31,0.14
-67.2,16.54,111.02,0.1,-0.7,0.09
22.28,-3.23,21.55,0.04,-0.46,0.16
134.64,-92.83,-100.22,0.15,-0.73,0.36
180.91,-226.14,-121.95,0.1,-1.49,0.69
112.98,-9.46,14.59,-0.3,-1.16,0.54
48.28,105.77,-18.55,0.28,-0.89,0.51
-13.85,-81.05,-16.48,0.03,-0.9,0.45
-79.47,12.27,6.9,0.1,-0.96,0.26
-92.83,-3.05,40.28,0.14,-0.86,0.06
-55.11,31.37,57.5,-0.02,-0.87,0.04
13.67,-17.46,60.12,0.08,-0.85,0.1
43.09,-52.25,53.71,0.05,-1.1,0.28
21.91,21.79,34.73,0.13,-1.3,0.33
20.63,77.39,30.21,0.34,-1.08,0.32
19.17,112.73,16.54,0.46,-0.98,0.21
-2.32,51.15,-3.23,0.53,-0.85,0.18
-25.45,59.57,-2.56,0.62,-0.83,0
-13.98,-6.23,30.33,0.59,-0.86,-0.07
-1.59,-2.56,17.64,0.5,-0.93,0
-16.24,89.84,-4.15,0.21,-1.23,-0.04
-17.21,108.52,-88.26,0.19,-1.15,-0.29
-19.47,99.3,-141.05,0.18,-1.13,-0.37
-14.34,116.82,-124.82,0.27,-1.13,-0.17
-7.57,83.8,-55.97,0.09,-1.08,0.03
28.63,113.4,49.38,0.18,-1.29,0.04
6.59,32.35,124.21,0.19,-1.42,0.06
77.15,92.77,236.82,1.01,-1.55,-0.34
145.32,65.12,313.05,0.9,-1.58,-0.54
195.98,-97.23,262.45,0.48,-1.2,-0.39
9.95,-302.92,174.99,0.06,-0.31,0.05
-3.05,-231.14,59.33,-0.36,0.35,-0.13
56.15,-114.14,-2.32,-0.3,0.3,-0.08
134.16,12.57,-50.54,-0.02,-0.11,0.04
359.38,10.44,-248.54,0.33,-1.95,0.27
379.27,-284.97,-176.03,0.13,-3.57,1.62
140.69,79.22,78.86,-0.62,-1.19,1.1
-43.46,28.5,-55.85,0.14,-0.57,0.82
-156.62,17.94,-45.96,-0.16,-1.65,0.64
-201.66,245.48,161.62,0.01,-1.65,0.3
-99.67,37.72,215.76,0.18,-1.16,0.12
-34.67,-28.81,98.14,-0.02,-0.54,0.17
73.91,-61.1,-2.93,0,-0.44,0.29
199.1,-90.64,-128.72,0,-1.1,0.46
163.02,-129.46,-123.23,-0.28,-1.41,0.65
83.13,101.68,-29.66,-0.04,-1.17,0.53
