gx,gy,gz,acx,acy,acz
3.6,227.91,-41.87,0.96,0.11,0.41
32.41,75.32,-20.81,1.47,-0.08,0.08
17.03,-23.44,6.1,1.02,-0.01,0.43
2.62,-6.35,-20.63,0.77,-0.19,0.25
11.35,4.58,-45.1,0.7,-0.4,0.3
-15.81,36.93,5.43,0.93,-0.38,0.45
-12.94,-6.59,15.08,0.76,-0.49,0.35
-20.75,7.75,-8.73,0.5,-0.5,0.35
-27.04,1.95,-127.38,0.56,-0.53,0.04
26.92,-203.12,-263.12,0.52,-0.9,0.25
112.12,-149.72,-226.5,-0.39,-1.45,0.83
42.36,244.81,-83.13,0.16,-0.93,0.23
12.33,-29.48,24.48,0.32,-0.82,0.35
30.09,-65,69.4,0.24,-1.03,0.33
-31.86,-153.5,120.97,-2.24,-1.38,0.36
9.7,168.03,-42.42,-0.49,-1.11,0.34
-51.27,198.43,-13.85,0.45,-0.94,0.16
-19.53,-4.82,-15.01,0.12,-0.85,0.32
21.85,-59.51,21.79,0.18,-0.95,0.3
19.9,-81.3,45.65,-0.01,-0.94,0.36
14.34,-15.38,37.96,0.04,-0.94,0.4
-0.37,-29.97,3.05,-0.09,-0.92,0.42
-14.95,-16.97,-31.92,0.01,-0.93,0.38
-11.41,61.89,-31.13,0,-0.93,0.36
-3.78,43.76,-15.14,0.17,-0.92,0.31
10.62,-4.7,-2.81,0.09,-0.91,0.34
13.55,-7.45,16.91,0.07,-0.94,0.39
5.92,-4.46,19.59,0.06,-0.93,0.4
-6.9,-20.75,0,-0.03,-0.91,0.43
-9.28,9.4,-9.7,0.07,-0.93,0.35
-5.62,9.22,-13,0.04,-0.92,0.36
0.92,4.39,-4.39,0.09,-0.9,0.32
7.75,-2.14,0.73,0.06,-0.92,0.34
9.34,-8,7.93,0.05,-0.94,0.37
3.54,-0.37,8.61,0.03,-0.94,0.4
-1.95,-7.26,-0.73,0.07,-0.93,0.39
-6.47,-6.71,0.79,0.06,-0.94,0.37
-8.36,-1.4,4.09,0.06,-0.92,0.35
-3.3,-7.26,4.03,0.05,-0.92,0.35
0.79,-4.82,1.95,0.04,-0.91,0.36
6.16,-1.1,0.31,0.09,-1.02,0.46
-27.16,-20.45,41.02,0.14,-0.86,0.71
-66.41,43.27,95.34,0.75,-0.73,0.78
-27.34,116.82,177.49,1.04,-0.52,0.32
36.99,-12.51,156.68,0.79,-0.55,0.11
39.49,-10.68,74.46,0.5,-0.45,0.26
14.95,21.42,0.31,0.71,-0.44,0.36
22.22,29.24,-0.37,0.8,-0.46,0.28
-25.15,9.4,11.17,0.81,-0.37,0.31
-42.24,-42.66,93.87,1.14,-0.49,0.51
-74.28,-89.29,106.32,0.99,0.01,0.12
-13.24,-136.35,-33.75,0.51,0.66,0.73
-31.01,-78.43,-38.94,0.01,0.77,0.88
-58.78,-119.38,-8.42,-0.58,1.61,1.16
-0.12,-105.83,-189.7,-0.09,0.63,1.3
-115.78,73.06,-76.9,0.21,-0.93,0.3
-2.87,60.42,138,0.34,0.04,0.13
159.48,-1.53,2.5,-0.14,0.34,0.02
438.48,170.04,-290.1,0.34,-1.55,0.63
423.34,-78.86,-380.55,0.77,-4,1.74
119.93,-96.56,59.81,-0.53,-1.13,0.61
-6.65,43.09,-2.26,0.39,-0.66,0.98
-108.46,-78.55,-40.22,-0.08,-1.36,0.56
-180.24,162.54,102.05,-0.08,-1.53,0.34
-112.12,96.68,209.53,0.23,-1.2,0.2
-44.86,-48.46,123.78,0.05,-0.66,0.16
61.16,-40.89,19.78,0.07,-0.36,0.4
147.22,-64.15,-102.66,0.17,-0.71,0.54
151.06,-122.86,-135.25,0.05,-1.37,0.9
42.72,16.6,-53.04,-0.2,-0.96,0.54
-49.62,323.55,8.67,0.5,-0.87,0.63
-55.42,257.2,129.58,0.9,-0.49,0.21
-5.8,223.39,149.66,0.15,-0.44,0.61
-1.89,-58.78,19.84,-0.24,-1.18,0.9
-30.7,-129.33,-36.01,1.07,-0.3,0.51
-47.91,-123.54,-63.9,1.08,-0.16,0.33
-2.99,3.91,-19.65,0.32,-0.21,0.35
-13.55,2.99,-15.56,0.29,-0.69,0.28
50.66,-118.53,-1.4,0.74,-1.18,0.13
80.81,-118.77,55.6,0.63,-0.99,0.51
19.1,-96.31,45.96,0.36,-0.92,0.94
-11.05,-36.13,-10.86,0.02,-0.85,0.28
35.58,-15.75,22.77,0.2,-1.56,0.45
40.16,166.93,-19.71,0.45,-0.2,0.83
