gx,gy,gz,acx,acy,acz
-4.27,-2.2,-0.31,0.06,-0.9,0.4
-1.4,-2.26,-1.46,0.07,-0.9,0.39
1.83,-3.48,0.55,0.08,-0.91,0.4
0.37,0.92,2.32,0.07,-0.9,0.41
0.43,-1.53,0.12,0.06,-0.9,0.41
-0.49,-0.67,-0.73,0.07,-0.9,0.41
-0.55,-0.43,0.43,0.08,-0.91,0.4
0,0.18,2.32,0.08,-0.9,0.41
0.12,0.61,1.77,0.08,-0.91,0.41
-0.61,-0.98,1.95,0.07,-0.91,0.41
-1.22,1.28,0.73,0.08,-0.9,0.41
-0.61,0.79,-1.53,0.08,-0.9,0.41
-1.4,-0.67,-0.92,0.08,-0.91,0.42
-3.11,2.62,-0.55,0.08,-0.9,0.42
-2.01,-1.65,-0.61,0.08,-0.9,0.43
-3.78,-1.95,-0.37,0.08,-0.9,0.44
-5.74,-0.73,0.98,0.07,-0.9,0.44
-5.49,-2.99,1.59,0.06,-0.89,0.45
-4.39,1.4,-0.92,0.07,-0.88,0.46
-3.05,-1.59,-1.53,0.06,-0.87,0.47
-4.58,1.65,-2.87,0.06,-0.87,0.49
-5.43,5.19,-4.52,0.08,-0.86,0.49
-5.8,1.1,-3.78,0.07,-0.85,0.48
-6.23,7.14,-3.36,0.1,-0.87,0.48
-2.44,-3.66,-1.04,0.07,-0.88,0.54
1.4,-27.89,-1.46,0.09,-0.81,0.6
-12.27,-68.6,41.99,-0.08,-0.75,0.56
-10.93,-38.64,55.18,0.02,-0.61,0.37
19.96,2.2,15.32,0.07,-1.59,0.35
4.64,75.62,-12.39,-0.02,-0.39,0.27
56.34,-18.19,6.53,0.26,-0.77,0.84
3.11,-107.24,-57.68,-0.24,-1,0.84
-25.39,112.18,-4.52,0.15,-0.84,0.5
-16.11,-20.81,-12.15,0.19,-0.77,0.38
10.56,14.77,-4.03,0.09,-0.9,0.42
15.08,45.84,7.57,0.06,-0.98,0.42
7.93,61.65,1.95,-0.08,-0.89,0.41
6.59,-4.64,-5.55,0.07,-0.88,0.44
4.58,-4.03,-0.98,0.07,-0.9,0.48
-2.5,1.28,4.39,0.07,-0.89,0.46
-3.36,0.67,1.83,0.07,-0.88,0.43
0.24,-1.83,-0.85,0.07,-0.88,0.43
3.11,-3.11,-2.01,0.08,-0.89,0.45
1.53,-2.87,-0.98,0.07,-0.89,0.46
-1.4,-1.65,2.44,0.07,-0.89,0.45
