gx,gy,gz,acx,acy,acz
5.25,-4.76,-5.68,0.09,-0.93,0.38
6.65,-14.53,-9.77,0.09,-0.9,0.38
1.4,2.08,-12.94,0.09,-0.92,0.38
-7.26,23.44,-1.65,0.07,-0.92,0.37
-4.76,20.94,9.46,0.07,-0.96,0.37
-8.54,32.9,14.53,0.01,-0.92,0.51
14.77,-36.99,-4.7,0.02,-0.76,0.31
33.94,-4.15,-28.87,0.05,-0.88,0.44
29.36,-13.24,-15.56,0.08,-1.03,0.47
-3.42,-12.33,1.46,0.09,-1.02,0.43
-32.17,19.29,56.4,0.1,-0.93,0.32
-45.59,-7.93,51.64,0.1,-1.08,0.24
-26.25,2.01,33.87,0.07,-0.87,0.18
13.79,-6.35,-5.92,0.12,-0.92,0.25
29.11,-12.82,-65.67,0.06,-1.07,0.4
13.98,-4.76,-33.94,-0.03,-0.63,0.45
-0.18,37.66,-41.56,0.09,-1.05,0.35
1.89,110.78,37.6,0.04,-0.74,0.25
37.29,13.31,-14.59,0.05,-0.84,0.45
24.84,-41.5,-40.71,0.06,-1.47,0.61
-33.33,45.41,39.06,0.01,-0.88,0.33
-59.2,25.63,9.77,0.13,-1.01,0.25
-31.01,54.69,37.72,0.07,-0.9,0.2
8.48,32.17,-36.93,0.09,-0.86,0.32
41.99,-48.83,-92.71,0.06,-1.27,0.66
1.46,67.44,-36.93,-0.05,-1.08,0.34
-24.23,139.89,-4.27,0.05,-0.75,0.33
10.01,42.97,-0.24,0.08,-0.67,0.36
33.69,-60.49,-58.53,0.08,-1.16,0.63
-12.02,53.71,18.19,-0.07,-1.08,0.52
-47.67,89.6,62.5,0.1,-0.78,0.32
-27.83,-6.41,-6.59,0.16,-0.98,0.28
8.61,-19.29,4.03,0.05,-0.83,0.3
35.89,-37.05,-30.46,0.14,-0.89,0.45
26.18,-154.3,-40.16,-0.15,-1.28,0.56
-22.58,27.28,24.17,-0.09,-0.48,0.4
-31.43,8.24,-2.87,0.12,-0.92,0.33
-3.91,-6.29,-5.92,0.03,-0.82,0.28
18.07,-93.57,39.06,0.05,-0.81,0.39
24.48,-78.12,25.15,0.05,-0.89,0.49
-14.04,-123.41,15.99,0.06,-1.25,0.48
-54.02,-54.38,35.4,0.05,-0.98,0.27
-53.28,-55.36,6.23,0.2,-1.01,0.2
-40.77,-65.73,22.58,0.15,-1.08,0.2
